Insert Times,Search Times,Insert Collisions,Search Collisions
7.00E-08,1.40E-07,,
7.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,8.00E-08,,
6.00E-08,9.00E-08,,
6.00E-08,9.00E-08,,
6.00E-08,8.00E-08,,
6.00E-08,9.00E-08,,
5.00E-08,1.00E-07,,
5.00E-08,8.00E-08,,
5.00E-08,1.00E-07,,
5.00E-08,9.00E-08,,
5.00E-08,1.00E-07,,
5.00E-08,8.00E-08,,
5.00E-08,9.00E-08,,
5.00E-08,9.00E-08,,
5.00E-08,1.00E-07,,
5.00E-08,8.00E-08,,
5.00E-08,9.00E-08,,
5.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
5.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,1.00E-07,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,1.00E-07,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
5.00E-08,9.00E-08,,
1.50E-07,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,1.40E-07,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,1.30E-07,,
5.00E-08,9.00E-08,749,336
5.00E-08,8.00E-08,,
4.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
5.00E-08,8.00E-08,,
5.00E-08,8.00E-08,,
7.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,1.00E-07,,
3.00E-08,9.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,1.00E-07,,
3.00E-08,1.00E-07,,
3.00E-08,9.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,9.00E-08,,
4.00E-08,9.00E-08,,
3.00E-08,1.00E-07,,
3.00E-08,9.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,8.00E-08,,
3.00E-08,9.00E-08,,
3.00E-08,1.00E-07,,
