Insert,Search
1.50E-07,7.00E-08
2.40E-07,5.00E-08
1.80E-07,6.00E-08
1.80E-07,4.00E-08
1.20E-07,4.00E-08
1.90E-07,4.00E-08
1.70E-07,4.00E-08
1.70E-07,4.00E-08
1.60E-07,5.00E-08
1.20E-07,4.00E-08
1.60E-07,5.00E-08
1.60E-07,5.00E-08
1.60E-07,4.00E-08
1.00E-07,4.00E-08
4.20E-07,4.00E-08
1.60E-07,5.00E-08
1.60E-07,5.00E-08
1.60E-07,4.00E-08
1.10E-07,5.00E-08
1.70E-07,3.00E-08
1.70E-07,3.00E-08
1.60E-07,4.00E-08
1.70E-07,4.00E-08
1.20E-07,4.00E-08
1.60E-07,3.00E-08
1.60E-07,4.00E-08
1.60E-07,5.00E-08
1.10E-07,4.00E-08
1.60E-07,5.00E-08
1.60E-07,3.00E-08
1.50E-07,5.00E-08
1.50E-07,5.00E-08
1.00E-07,4.00E-08
1.50E-07,4.00E-08
1.50E-07,3.00E-08
1.60E-07,4.00E-08
1.00E-07,4.00E-08
1.50E-07,4.00E-08
1.50E-07,4.00E-08
1.50E-07,3.00E-08
1.50E-07,5.00E-08
9.00E-08,4.00E-08
1.50E-07,4.00E-08
1.50E-07,4.00E-08
2.00E-07,4.00E-08
1.00E-07,4.00E-08
1.50E-07,4.00E-08
1.50E-07,4.00E-08
1.50E-07,5.00E-08
1.50E-07,4.00E-08
1.00E-07,5.00E-08
1.50E-07,4.00E-08
1.50E-07,5.00E-08
1.50E-07,4.00E-08
1.40E-07,4.00E-08
1.00E-07,4.00E-08
3.60E-07,4.00E-08
1.50E-07,4.00E-08
1.60E-07,5.00E-08
1.10E-07,3.00E-08
1.50E-07,4.00E-08
1.50E-07,4.00E-08
1.60E-07,5.00E-08
1.50E-07,4.00E-08
2.20E-07,4.00E-08
2.20E-07,4.00E-08
1.70E-07,4.00E-08
6.00E-07,4.00E-08
1.20E-07,4.00E-08
2.10E-07,3.00E-08
7.90E-07,4.00E-08
1.70E-07,4.00E-08
1.60E-07,5.00E-08
1.10E-07,4.00E-08
1.60E-07,4.00E-08
1.70E-07,4.00E-08
1.80E-07,4.00E-08
7.30E-07,4.00E-08
3.90E-07,4.00E-08
1.80E-07,3.00E-08
2.00E-07,4.00E-08
1.80E-07,4.00E-08
1.20E-07,4.00E-08
1.60E-07,3.00E-08
1.90E-07,4.00E-08
1.60E-07,4.00E-08
1.90E-07,4.00E-08
1.20E-07,6.00E-08
1.30E-07,9.00E-08
1.20E-07,7.00E-08
1.40E-07,6.00E-08
1.00E-07,8.00E-08
1.20E-07,3.00E-08
1.90E-07,4.00E-08
1.60E-07,4.00E-08
1.60E-07,4.00E-08
1.10E-07,5.00E-08
1.60E-07,4.00E-08
4.10E-07,4.00E-08
1.70E-07,4.00E-08
1.10E-07,4.00E-08
1.60E-07,3.00E-08
2.60E-07,4.00E-08
1.90E-07,3.00E-08
1.30E-07,3.00E-08
1.00E-07,4.00E-08
1.50E-07,4.00E-08
1.30E-07,3.00E-08
1.20E-07,4.00E-08
9.00E-08,3.00E-08
1.80E-07,4.00E-08
1.90E-07,4.00E-08
1.70E-07,5.00E-08
3.50E-07,4.00E-08
1.10E-07,3.00E-08
1.25E-06,4.00E-08
