Insert,Search
1.00E-07,4.00E-08
7.00E-08,3.00E-08
6.00E-08,3.00E-08
8.00E-08,3.00E-08
5.00E-08,1.10E-07
6.00E-08,9.00E-08
5.00E-08,2.00E-08
6.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,2.00E-08
6.00E-08,4.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
6.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
6.00E-08,3.00E-08
8.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,3.00E-08
6.00E-08,2.00E-08
6.00E-08,3.00E-08
6.00E-08,2.00E-08
6.00E-08,2.00E-08
5.00E-08,2.00E-08
8.00E-08,2.00E-08
6.00E-08,2.00E-08
6.90E-07,3.00E-08
9.00E-08,3.00E-08
7.00E-08,2.00E-08
6.00E-08,2.00E-08
5.00E-08,2.00E-08
6.00E-08,2.00E-08
6.00E-08,3.00E-08
8.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,3.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
6.00E-08,2.00E-08
4.00E-08,2.00E-08
5.00E-08,2.00E-08
2.20E-07,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,3.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-07,6.00E-08
6.00E-08,4.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
4.00E-08,4.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
4.00E-08,3.00E-08
4.00E-08,3.00E-08
4.00E-08,4.00E-08
4.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,3.00E-08
5.00E-08,3.00E-08
8.00E-08,2.00E-08
5.00E-08,2.00E-08
5.00E-08,2.00E-08
6.00E-08,3.00E-08
6.00E-08,2.00E-08
6.00E-08,2.00E-08
5.00E-08,2.00E-08
6.00E-08,2.00E-08
6.00E-08,2.00E-08
6.00E-08,2.00E-08
5.00E-08,2.00E-08
6.00E-08,2.00E-08
8.00E-08,3.00E-08
5.00E-08,3.00E-08
5.00E-08,2.00E-08
5.00E-08,3.00E-08
6.00E-08,3.00E-08
5.00E-08,3.00E-08
6.00E-08,3.00E-08
8.00E-08,3.00E-08
5.00E-08,3.00E-08
6.00E-08,3.00E-08
7.00E-08,3.00E-08
6.00E-08,3.00E-08
6.00E-08,4.00E-08
6.00E-08,5.00E-08
8.00E-08,3.80E-07
5.00E-08,2.10E-07
