LL Insert,LL Search,BST Insert,BST Search
2.24E-06,2.58E-07,6.86E-07,1.79E-07
6.69E-07,5.01E-07,2.93E-07,1.89E-07
1.30E-06,7.59E-07,7.15E-07,1.50E-07
1.83E-06,9.64E-07,7.52E-07,1.44E-07
4.77E-06,1.71E-06,4.06E-07,1.86E-07
2.36E-06,1.73E-06,7.62E-07,3.46E-07
3.15E-06,1.78E-06,9.15E-07,4.50E-07
3.32E-06,1.97E-06,8.33E-07,4.52E-07
3.58E-06,2.29E-06,2.73E-07,2.15E-07
4.52E-06,2.98E-06,4.50E-07,3.79E-07
4.31E-06,2.69E-06,6.26E-07,3.56E-07
6.43E-06,3.34E-06,5.46E-07,3.13E-07
7.91E-06,4.30E-06,8.03E-07,3.29E-07
8.24E-06,5.14E-06,5.22E-07,8.65E-07
9.52E-06,4.34E-06,4.63E-07,2.37E-07
7.19E-06,5.16E-06,4.33E-07,3.56E-07
7.24E-06,4.67E-06,7.35E-07,4.54E-07
6.52E-06,4.09E-06,7.36E-07,3.82E-07
9.70E-06,6.65E-06,6.09E-07,1.80E-07
9.84E-06,5.09E-06,9.08E-07,9.56E-07
8.89E-06,7.26E-06,1.46E-06,3.36E-07
1.40E-05,6.69E-06,8.49E-07,7.33E-07
9.92E-06,8.12E-06,7.61E-07,4.78E-07
1.05E-05,4.77E-06,1.11E-06,4.41E-07
9.97E-06,5.76E-06,8.03E-07,3.19E-07
1.13E-05,5.79E-06,1.18E-06,6.64E-07
1.03E-05,6.70E-06,1.56E-06,1.06E-06
1.23E-05,7.38E-06,1.08E-06,2.62E-07
1.93E-05,7.68E-06,1.52E-06,5.28E-07
2.09E-05,7.33E-06,1.81E-06,6.85E-07
1.96E-05,9.30E-06,1.18E-06,6.30E-07
2.36E-05,8.64E-06,6.01E-07,6.07E-07
1.52E-05,7.21E-06,8.36E-07,4.98E-07
1.37E-05,9.24E-06,6.13E-07,2.73E-07
2.04E-05,6.20E-06,1.00E-06,6.55E-07
2.81E-05,8.35E-06,2.23E-06,7.23E-07
2.12E-05,1.01E-05,9.28E-07,4.48E-07
2.12E-05,1.08E-05,2.43E-06,4.22E-07
2.45E-05,9.34E-06,1.85E-06,3.07E-06
2.57E-05,1.18E-05,1.80E-06,7.95E-07
1.96E-05,1.07E-05,1.97E-06,4.69E-07
2.33E-05,1.01E-05,1.18E-06,1.38E-06
3.40E-05,1.51E-05,1.76E-06,6.51E-07
3.20E-05,1.72E-05,1.56E-06,8.63E-07
2.71E-05,8.78E-06,1.51E-06,2.33E-06
3.32E-05,1.34E-05,1.30E-06,8.78E-07
3.32E-05,2.02E-05,1.45E-06,5.72E-07
2.96E-05,1.19E-05,1.85E-06,7.68E-07
1.93E-05,1.56E-05,1.40E-06,1.08E-06
1.86E-05,1.39E-05,1.27E-06,1.37E-06
2.59E-05,1.19E-05,9.76E-07,1.84E-06
3.31E-05,1.80E-05,2.49E-06,4.07E-07
2.97E-05,1.88E-05,1.57E-06,5.37E-07
2.82E-05,1.63E-05,3.12E-06,4.65E-07
2.66E-05,1.95E-05,2.13E-06,1.40E-06
2.93E-05,1.98E-05,1.45E-06,6.36E-07
3.53E-05,2.21E-05,1.97E-06,2.94E-07
4.28E-05,1.84E-05,4.82E-06,5.70E-07
2.14E-05,1.26E-05,1.94E-06,3.25E-07
1.96E-05,1.43E-05,2.85E-06,4.04E-07
2.80E-05,1.46E-05,2.26E-06,2.89E-07
3.76E-05,1.88E-05,1.48E-06,4.13E-07
4.23E-05,2.15E-05,1.50E-06,7.10E-07
1.80E-05,2.07E-05,1.26E-06,4.50E-07
2.89E-05,1.86E-05,1.96E-06,4.94E-07
4.48E-05,1.83E-05,2.35E-06,6.08E-07
3.10E-05,2.16E-05,2.04E-06,3.12E-07
2.94E-05,2.10E-05,2.02E-06,6.69E-07
3.45E-05,2.29E-05,3.64E-06,3.52E-07
3.06E-05,2.27E-05,3.14E-06,6.28E-07
4.01E-05,2.04E-05,2.87E-06,5.87E-07
